角色名,全剧台词段数,全剧台词字数,段均字数
邢育森,2565,51457,20.06120857699805
佟湘玉,16577,314257,18.957410870483198
白展堂,15256,284406,18.642239119035132
吕秀才,7805,133680,17.127482383087763
莫小贝,4606,80458,17.46808510638298
众 人,1785,15446,8.653221288515406
郭芙蓉,11866,221044,18.628349907298162
小 青,117,1635,13.974358974358974
李大嘴,7522,145361,19.32478064344589
小 米,732,15212,20.781420765027324
燕小六,3931,74643,18.988298142966165
朱先生,123,2874,23.365853658536587
大嘴娘,447,7113,15.912751677852349
慕容嫣,120,2091,17.425
展红绫,379,6519,17.200527704485488
杨蕙兰,650,12996,19.993846153846153
姬无命,490,7413,15.128571428571428
窦先生,299,6584,22.02006688963211
喻恩泰,108,1704,15.777777777777779
扈十娘,164,3818,23.28048780487805
赛貂禅,430,8516,19.804651162790698
小 翠,334,6064,18.15568862275449
雷老五,104,2026,19.48076923076923
钱掌柜,546,10376,19.003663003663004
白 眉,204,3960,19.41176470588235
陆一鸣,220,4216,19.163636363636364
钱夫人,272,6644,24.426470588235293
吴守义,152,2696,17.736842105263158
佟伯达,200,4722,23.61
佟石头,500,8812,17.624
祝无双,3178,60226,18.950912523599747
清 风,136,2284,16.794117647058822
诸葛孔方,204,3924,19.235294117647058
邱小冬,110,1958,17.8
追 风,172,3448,20.046511627906977
白三娘,536,10490,19.57089552238806
公孙乌龙,202,4706,23.297029702970296
老 洪,102,1688,16.54901960784314
岳松涛,130,2534,19.49230769230769
韩 娟,422,8460,20.04739336492891
慕容子,314,7038,22.414012738853504
展 堂,472,9418,19.953389830508474
包大人,358,7308,20.41340782122905
包大仁,386,9102,23.580310880829014
殷十三,144,2214,15.375
南宫残花,172,4094,23.802325581395348
南 宫,156,3388,21.71794871794872
谢仲达,204,4618,22.637254901960784
郭蔷薇,256,5904,23.0625
郭巨侠,204,4534,22.225490196078432
辛普森,222,5608,25.26126126126126
柳星雨,312,7268,23.294871794871796
谢步东,226,5082,22.486725663716815
杜子俊,228,5532,24.263157894736842
凌腾云,228,6078,26.657894736842106
